epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8268,2.08586,4.43572,1.61355,0.00337,0.81197,0.0046,0.00165,1.87123,3.57995,1.65042,0.000543587,0.000543587,0.000543587
2,48.4609,2.09338,2.98444,1.6031,0.00517,0.71795,0.22377,0.10811,1.98237,3.11779,1.6176,0.000881601,0.000881601,0.000881601
3,66.6166,1.92052,2.87056,1.46814,0.28264,0.2094,0.19992,0.07856,1.90412,2.79015,1.36854,0.000999572,0.000999572,0.000999572
4,83.5382,1.80547,2.6369,1.34416,0.24943,0.55128,0.35515,0.16122,1.8975,2.43887,1.4045,0.000676802,0.000676802,0.000676802
5,100.938,1.79643,2.71686,1.40589,0.45384,0.45671,0.33934,0.16068,1.78644,2.48838,1.4324,0.000346736,0.000346736,0.000346736
